"Protein_ID"
"XBmRNA75341|XBXL10_1g40058"
"XBmRNA14112|XBXL10_1g7488"
"XBmRNA6193|XBXL10_1g3394"
"XBmRNA67312|XBXL10_1g35650"
"XBmRNA20425|XBXL10_1g10858"
"XBmRNA10967|XBXL10_1g5857"
"XBmRNA30598|XBXL10_1g16292"
"XBmRNA39802|XBXL10_1g21499"
"XBmRNA63714|XBXL10_1g33734"
"XBmRNA61704|XBXL10_1g32681"
"XBmRNA6137|XBXL10_1g3365"
"XBmRNA73555|XBXL10_1g38981"
"XBmRNA441|XBXL10_1g422"
"XBmRNA73348|XBXL10_1g38867"
"XBmRNA6078|XBXL10_1g3335"
"XBmRNA11322|XBXL10_1g6061"
"XBmRNA15074|XBXL10_1g7972"
"XBmRNA52839|XBXL10_1g28137"
"XBmRNA21377|XBXL10_1g11375"
"XBmRNA40105|XBXL10_1g21614"
"XBmRNA55898|XBXL10_1g29701"
"XBmRNA8507|XBXL10_1g4592"
"XBmRNA3562|XBXL10_1g1996"
"XBmRNA14207|XBXL10_1g7561"
"XBmRNA79599|XBXL10_1g42365"
"XBmRNA13570|XBXL10_1g7224"
"XBmRNA56625|XBXL10_1g30076"
"XBmRNA20112|XBXL10_1g10707"
"XBmRNA77321|XBXL10_1g40989"
"XBmRNA79809|XBXL10_1g42466"
"XBmRNA59287|XBXL10_1g31352"
"XBmRNA56840|XBXL10_1g30203"
"XBmRNA76817|XBXL10_1g40784"
"XBmRNA4130|XBXL10_1g2235"
